Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
34,Email,"Yes, at a discounted price",More than twice a month,More than twice a month,More than twice a month,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Price,"Yes, at a discounted price",Cash discounts,Internet balance top up,Coupons,Yes,Monthly unlimited,Facebook,YouTube,Instagram,"2,001 - 3,000",Twice a month,Accessories,Electronic gadgets,gift items,"1,001 - 2,000",Up to 10%,Easy to use mobile app,High Security ,Longer transaction time-out,No,,,,,,,Yes,Can transfer funds between accounts easily,Easy to make payment/Convenient,Last minute deals,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Employed,Private - For Profit,Media,Single with no kid,Bashundhara,"Up to 50,000",Aspirant,I like to explore new things
35,Email,"Yes, at a discounted price",Once/twice in 6 months,,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Complimentary breakfast,"Yes, at a discounted price",Cash discounts,Internet balance top up,Cashback offer,Yes,Monthly unlimited,Facebook,YouTube,Food ordering apps,"1,001 - 2,000",Once a month,Cloths,Electronic gadgets,Food,"1,001 - 2,000",31-50%,More privacy assurance,Higher Transaction Limit,Easy to use mobile app,Maybe,Poor quality of product/service,It is not safe to transact online,No option for seat selection,Cannot trust online transaction,Poor customer service,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Attractive discounts,Don't have to travel,SnapTap,Cash delivered,Internet balance top up,Earning credits for future purchase,Male,31-40 years,Gen X,Employed,Public,Financial Institution,Single with no kid,Uttara,"50,001-100,000",Emerging,Shopping online is my passion
36,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once a month,More than twice a month,I prefer having some light snacks like sandwich,"501-1,000",Safety,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,At times,Monthly Limited,Facebook,Imo,linkedin,"1,001 - 2,000",Once/twice in a year,,,,500 - 700,Up to 10%,Longer transaction time-out,Easy to use mobile app,,No,,,,,,,Yes,Easy to make payment/Convenient,Last minute deals,Don't have to travel,Chime,Bank Account,Cash delivered,,Male,50+ years,Baby Boomers,Employed,Private - For Profit,bank,Married with more than 1 kid,Gulshan,"100,001-200,000",Established,I use internet mainly for work/business
37,Phone call,"Yes, at a discounted price",Once/twice in 6 months,,Once/twice in a year,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Coupons,Yes,Monthly unlimited,Facebook,Food ordering apps,Maps,"1,001 - 2,000",Once/twice in 6 months,Cloths,Electronic gadgets,Food,"701 - 1,000",Up to 10%,More privacy assurance,Longer transaction time-out,High mobile optimization,No,,,,Finds it complicated,Payment is difficult,Description of the product/service is not detailed,Maybe,Can transfer funds between accounts easily,Attractive discounts,Don't have to travel,Chime,Bank Account,Internet balance top up,Earning credits for future purchase,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,NGO,Single with no kid,Uttara,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
38,Phone call,"Yes, but at regular price",Once/twice in 6 months,,Once/twice in a year,I prefer having some light snacks like sandwich,"501-1,000",Environment,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Coupons,Yes,Monthly unlimited,Facebook,YouTube,Food ordering apps,"1,001 - 2,000",Once/twice in 6 months,Cloths,Electronic gadgets,Food,"1,001 - 2,000",11-30%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,Maybe,Poor customer service,No bargaining option,Product/service not available online,Finds it complicated,Poor customer service,No option for seat selection,Maybe,Easy to make payment/Convenient,Attractive discounts,Don't have to travel,Chime,Bank Account,Cash delivered,Concession on the next purchase,Male,31-40 years,Gen X,Employed,Private - For Profit,Hotel business,Married with no kids,Uttara,"50,001-100,000",Emerging,Shopping online is my passion
39,Phone call,"Yes, at a discounted price",More than twice a month,Never,More than twice a month,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Safety,"Yes, at a discounted price",Cash discounts,Internet balance top up,,No,I don't use internet in my phone,I don't use apps,,,500 - 700,Never,I don't shop online,,,I don't shop online,I don't shop online,High Security ,Longer transaction time-out,Easy to use mobile app,No,,,,Finds it complicated,I am not a tech savvy person,Can't tell if the product is genuine,No,,,,Chime,Bank Account,Cash delivered,,Female,41-50 years,Baby Boomers,Employed,Private - For Profit,Financial Institution,Married with more than 1 kid,Gulshan,"50,001-100,000",Emerging,I find adapting to new technology difficult
40,Sms,"Yes, at a discounted price",Once/twice in 6 months,More than twice a month,Once a month,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Environment,No,Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Facebook,Instagram,Viber,500 - 700,Never,I don't shop online,,,I don't shop online,I don't shop online,Longer transaction time-out,Easy to use mobile app,Facebook based customer services,No,,,,Finds it complicated,Cannot trust online transaction,Can't tell if the product is genuine,Yes,Easy to make payment/Convenient,Don't have to travel,,SnapTap,Cash delivered,bkash,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"50,001-100,000",Emerging,I like to explore new things
41,Sms,"Yes, at a discounted price",Twice a month,Never,,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,Up to 500,Safety,No,Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly Limited,Facebook,WhatsApp,Viber,500 - 700,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,High mobile optimization,Payment gateway integration,No,,,,Cannot trust online transaction,Love the touch and feel,Can't tell if the product is genuine,Maybe,Easy to make payment/Convenient,Don't have to travel,,Chime,Bank Account,Cash delivered,,Female,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Dhanmondi,"100,001-200,000",Established,I think online payment system is not secured yet
42,I don't prefer,No,Once a month,Once/twice in 6 months,Once/twice in 6 months,I prefer having chocolates/ice-creams,"1,001-2,000",Price,No,Mobile Talk time top up,Internet balance top up,,Yes,Monthly Limited,Facebook,WhatsApp,Viber,500 - 700,Never,Accessories,,,I don't shop online,I don't shop online,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,Poor customer service,Poor quality of product/service,Less option to choose from,Payment is difficult,Less option to choose from,,Maybe,Easy to make payment/Convenient,,,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with no kids,Mirpur,"200,001-300,000",Affluent,I use internet mainly for work/business
43,Sms,"Yes, at a premium price",Twice a month,More than twice a month,Once a month,I prefer having some light snacks like sandwich,"1,001-2,000",Safety,"Yes, at regular price",Cash discounts,,,Yes,Monthly unlimited,Facebook,YouTube,Viber,"More than 3,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Higher Transaction Limit,Easy to use mobile app,Facebook based customer services,No,,,,Cannot trust online transaction,Poor customer service,Love the touch and feel,No,,,,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I use internet mainly for work/business
44,Sms,"Yes, but at regular price",More than twice a month,Twice a month,More than twice a month,I prefer having chocolates/ice-creams,Up to 500,Quality of the service,"Yes, at regular price",Cash discounts,Cashback offer,,Yes,Monthly Limited,Facebook,WhatsApp,YouTube,Up to 500,More than twice a month,Cloths,Accessories,Electronic gadgets,"1,001 - 2,000",31-50%,Easy to use mobile app,Call center facilities,,No,I am more comfortable visiting physically,Poor customer service,Poor quality of product/service,Payment is difficult,,,Maybe,Attractive discounts,Don't have to travel,,SnapTap,Bank Account,Cash delivered,,Female,31-40 years,Gen X,Homemaker,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I use internet mainly for socialization
45,I don't prefer,"Yes, at a discounted price",More than twice a month,Twice a month,Once a month,I prefer complementary meal/food service,Up to 500,Quality of the service,No,Cash discounts,Gifts (Free tickets/food voucher),,Yes,Customized,Facebook,WhatsApp,YouTube,Up to 500,Once/twice in 6 months,Accessories,Food,,500 - 700,Up to 10%,Call center facilities,More privacy assurance,Easy to use mobile app,No,Poor customer service,Poor quality of product/service,No bargaining option,Finds it complicated,Payment is difficult,,Maybe,Attractive discounts,Don't have to travel,Reliable call center service,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Self-employed,Own Business,Education,Single with no kid,Rampura,"Up to 50,000",Aspirant,I think online payment system is not secured yet
46,I don't prefer,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,Once a month,I prefer having some light snacks like sandwich,"1,001-2,000",Price,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Pay as you go,Facebook,WhatsApp,YouTube,"1,001 - 2,000",Once/twice in a year,Accessories,,,Up to 500,Up to 10%,Easy to use mobile app,More privacy assurance,Longer transaction time-out,Maybe,I am more comfortable visiting physically,No bargaining option,It is not safe to transact online,No option for seat selection,,,Yes,Attractive discounts,,,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mohammadpur,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
47,Sms,"Yes, but at regular price",More than twice a month,More than twice a month,Once a month,I prefer complementary meal/food service,"2,001-3,000",Quality of the service,No,Cash discounts,Cashback offer,,Yes,Monthly unlimited,Facebook,WhatsApp,YouTube,"More than 3,000",More than twice a month,Cloths,Accessories,Food,"More than 3,000",51-70%,Easy to use mobile app,Call center facilities,,Maybe,Less option to choose from,No bargaining option,Call center service was not up to the mark,I purchase online,,,No,Easy to make payment/Convenient,Don't have to travel,,Chime,Bank Account,Cash delivered,Mobile balance top up,Female,21-30 years,Millennials,Self-employed,Private - For Profit,Financial Institution,Single with no kid,Bashundhara,"200,001-300,000",Affluent,I use internet mainly for socialization
48,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,Once a month,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"501-1,000",Brand,"Yes, at a discounted price",Cash discounts,Cashback offer,Coupons,At times,Monthly Limited,Viber,Maps,Wktickets,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,Call center facilities,Easy to use mobile app,High mobile optimization,Maybe,Poor customer service,Poor quality of product/service,Slow speed of delivery,,,,Maybe,Don't have to travel,Easy to make payment/Convenient,Floating deals during off-peak hours,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with no kids,Dhanmondi,"Up to 50,000",Aspirant,I like to explore new things
49,Phone call,"Yes, at a discounted price",Twice a month,Once/twice in a year,Once a month,I prefer having some soft drinks with popcorns/French fries,Up to 500,Price,No,Cash discounts,Mobile Talk time top up,,Yes,Monthly Limited,Facebook,YouTube,Maps,Up to 500,Once a month,Cloths,Accessories,Electronic gadgets,500 - 700,Up to 10%,Easy to use mobile app,More privacy assurance,High Security ,No,I am more comfortable visiting physically,It is not safe to transact online,Product/service not available online,Can't find what is being looked for,Lack of discount/offers,,Yes,Attractive discounts,Don't have to travel,,SnapTap,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Self-employed,Not Applicable,Engineer,Single with no kid,Uttara,"Up to 50,000",Aspirant,I like to explore new things
50,Sms,No,Once a month,Twice a month,Once a month,I don't,Up to 500,Price,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Pay as you go,Facebook,Imo,Gaming apps,Up to 500,Once/twice in a year,Accessories,Electronic gadgets,Commodity,"701 - 1,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,Yes,Over priced,User experience (App) was poor,User experience (Web) was poor,I purchase online,,,No,,,,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Mirpur,"Up to 50,000",Aspirant,I like to explore new things
51,Sms,"Yes, but at regular price",Once a month,Once/twice in 6 months,More than twice a month,I prefer complementary meal/food service,"2,001-3,000",Quality of the room,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Monthly unlimited,Facebook,Maps,Gaming apps,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Longer transaction time-out,Easy to use mobile app,Facebook based customer services,No,,,,Can't find what is being looked for,Cannot trust online transaction,Can't tell if the product is genuine,No,,,,Chime,Bank Account,Cash delivered,,Male,31-40 years,Gen X,Employed,Private - For Profit,Telecom,Married with no kids,Mohammadpur,"50,001-100,000",Emerging,I like to explore new things
52,Sms,"Yes, at a discounted price",,Never,,I prefer having some light snacks like sandwich,Up to 500,Price,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),,Yes,Pay as you go,Facebook,YouTube,Maps,"701 - 1,000",Never,Commodity,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,Maybe,I am more comfortable visiting physically,Less option to choose from,It is not safe to transact online,Cannot trust online transaction,Payment is difficult,,No,,,,MaxPay,Cash delivered,Mobile balance top up,Concession on the next purchase,Male,31-40 years,Gen X,Employed,Private - Not for Profit,NGO,Married with no kids,Mogbazar,"50,001-100,000",Emerging,I use internet mainly for socialization
